glycan_ID,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,form_name
G00219DO,unassigned,9,GalNAc,b,D,p,7,4,GalpNAc,9,
G00219VH,unassigned,3,GlcNAc,x,D,p,OC,3,GlcpNAc,3,
G00221CZ,unassigned,16,Gal,b,D,p,x,x,Galp,16,
G00221CZ,unassigned,17,Gal,b,D,p,x,x,Galp,17,
G00221CZ,unassigned,18,Gal,b,D,p,x,x,Galp,18,
G00227RN,unassigned,12,Man,a,D,p,NC,x,Manp,12,
G00227RN,unassigned,13,GlcNAc,b,D,p,12,x,GlcpNAc,13,
G00227RN,unassigned,15,Gal,b,D,p,13,4,Galp,15,
G00227RN,unassigned,16,NeuNAc,a,D,p,15,3,NeupNAc,16,
G00227RN,unassigned,18,GlcNAc,b,D,p,12,2,GlcpNAc,18,
G00227RN,unassigned,6,Man,a,D,p,NC,x,Manp,6,
G00227RN,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc,7,
G00227RN,unassigned,9,Gal,b,D,p,7,4,Galp,9,
G00227RN,unassigned,20,Gal,b,D,p,18,4,Galp,20,
G00227RN,unassigned,10,NeuNAc,a,D,p,9,3,NeupNAc,10,
G00227RN,unassigned,21,NeuNAc,a,D,p,20,3,NeupNAc,21,
G00230CO,unassigned,2,Fuc,a,L,p,NA,3|6,Fucp,2,
G00230IL,unassigned,11,Fuc,x,L,p,5,x,Fucp,11,
G00230IL,unassigned,12,Gal,x,D,p,OC,x,Galp,12,
G00230IL,unassigned,13,Fuc,x,L,p,12,x,Fucp,13,
G00230IL,unassigned,3,GlcNAc,x,D,p,OC,x,GlcpNAc,3,
G00230IL,unassigned,5,Gal,x,D,p,3,x,Galp,5,
G00230IL,unassigned,6,GlcNAc,x,D,p,5,x,GlcpNAc,6,
G00230IL,unassigned,8,Gal,x,D,p,6,x,Galp,8,
G00230IL,unassigned,9,Fuc,x,L,p,8,x,Fucp,9,
G00230IL,unassigned,10,Fuc,x,L,p,6,x,Fucp,10,
G00231IQ,unassigned,11,GlcNAc,x,D,p,8,x,GlcpNAc,11,
G00231IQ,unassigned,13,GalNAc,b,D,p,11,4,GalpNAc,13,
G00231IQ,unassigned,15,Gal,b,D,p,13,3,Galp,15,
G00231IQ,unassigned,16,NeuNAc,a,D,p,15,6,NeupNAc,16,
G00231IQ,unassigned,6,Man,a,D,p,NC,x,Manp,6,
G00231IQ,unassigned,7,Man,x,D,p,6,x,Manp,7,
G00231IQ,unassigned,8,Man,a,D,p,NC,x,Manp,8,
G00231IQ,unassigned,9,GlcNAc,x,D,p,8,x,GlcpNAc,9,
G00234GG,unassigned,3,GlcNAc,x,D,p,OC,x,GlcpNAc,3,
G00234GG,unassigned,5,sulfate,n,n,n,3,6,sulfate,5,
G00234GG,unassigned,6,Gal,x,D,p,3,x,Galp,6,
G00234GG,unassigned,7,GlcNAc,x,D,p,OC,x,GlcpNAc,7,
G00241VQ,unassigned,6,NeuNAc,a,D,p,O562,3,NeupNAc,6,
G00247JV,unassigned,12,Man,a,D,p,x,x,Manp,12,
G00247JV,unassigned,13,Man,a,D,p,12,3,Manp,13,
G00249IY,unassigned,11,GlcNAc,x,D,p,N4,x,GlcpNAc,11,
G00249IY,unassigned,12,Gal,x,D,p,11,x,Galp,12,
G00249IY,unassigned,14,Fuc,x,L,p,NA,6,Fucp,14,
G00249IY,unassigned,15,Fuc,x,L,p,x,x,Fucp,15,
G00249IY,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc,7,
G00249IY,unassigned,8,Gal,x,D,p,7,x,Galp,8,
G00249XF,unassigned,3,GlcNAc,x,D,p,OC,3,GlcpNAc,3,
G00249XF,unassigned,4,Gal,x,D,p,3,x,Galp,4,
G00249XF,unassigned,6,GlcNAc,x,D,p,OC,6,GlcpNAc,6,
G00249XF,unassigned,8,Gal,x,D,p,6,3,Galp,8,
G00249XF,unassigned,9,sulfate,n,n,n,6,6,sulfate,9,
G00257UQ,unassigned,11,NeuNAc,x,D,p,10,x,NeupNAc,11,
G00257UQ,unassigned,3,GlcNAc,x,D,p,OC,x,GlcpNAc,3,
G00257UQ,unassigned,5,sulfate,n,n,n,3,6,sulfate,5,
G00257UQ,unassigned,6,Gal,x,D,p,3,x,Galp,6,
G00257UQ,unassigned,7,NeuNAc,x,D,p,6,x,NeupNAc,7,
G00257UQ,unassigned,9,Fuc,x,L,p,3,x,Fucp,9,
G00257UQ,unassigned,10,Gal,x,D,p,OC,x,Galp,10,
G00277SO,unassigned,3,GlcNAc,x,D,p,OC,x,GlcpNAc,3,
G00277SO,unassigned,5,GlcNAc,x,D,p,3,x,GlcpNAc,5,
G00277SO,unassigned,7,Fuc,x,L,p,5,x,Fucp,7,
G00277SO,unassigned,8,Gal,x,D,p,5,x,Galp,8,
G00277SO,unassigned,9,Gal,x,D,p,OC,x,Galp,9,
G00277SO,unassigned,10,Fuc,x,L,p,9,x,Fucp,10,
G00281HB,unassigned,11,Gal,x,D,p,10,x,Galp,11,
G00281HB,unassigned,6,Man,a,D,p,NC,3|6,Manp,6,
G00281HB,unassigned,7,Man,x,D,p,6,x,Manp,7,
G00281HB,unassigned,8,Man,x,D,p,6,x,Manp,8,
G00281HB,unassigned,9,Man,a,D,p,NC,3|6,Manp,9,
G00281HB,unassigned,10,GlcNAc,x,D,p,9,x,GlcpNAc,10,
G00287UD,unassigned,9,GlcNAc,b,D,p,O672,4,GlcpNAc,9,
G00288RP,unassigned,8,Fuc,a,L,p,O658,2,Fucp,8,
G00288RP,unassigned,9,Fuc,a,L,p,x,x,Fucp,9,
G00318AV,unassigned,13,GlcNAc,x,D,p,N4,x,GlcpNAc,13,
G00318AV,unassigned,14,Gal,x,D,p,13,x,Galp,14,
G00318AV,unassigned,15,NeuNAc,x,D,p,14,x,NeupNAc,15,
G00318AV,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc,7,
G00318AV,unassigned,8,Gal,x,D,p,7,x,Galp,8,
G00318AV,unassigned,9,NeuNAc,x,D,p,8,x,NeupNAc,9,
G00325UK,unassigned,11,NeuNAc,a,D,p,N3,3|6,NeupNAc,11,
G00325UK,unassigned,23,GalNAc,b,D,p,21,4,GalpNAc,23,
G00325UK,unassigned,19,NeuNAc,a,D,p,N6,3|6,NeupNAc,19,
G00325UK,unassigned,21,GlcNAc,b,D,p,x,x,GlcpNAc,21,
G00328CG,unassigned,11,GlcNAc,x,D,p,N4,x,GlcpNAc,11,
G00328CG,unassigned,13,Gal,b,D,p,11,4,Galp,13,
G00328CG,unassigned,14,NeuNAc,a,D,p,x,x,NeupNAc,14,
G00328CG,unassigned,16,NeuNAc,a,D,p,x,x,NeupNAc,16,
G00328CG,unassigned,7,GlcNAc,x,D,p,N1,x,GlcpNAc,7,
G00328CG,unassigned,18,NeuNAc,a,D,p,x,x,NeupNAc,18,
G00328CG,unassigned,9,Gal,b,D,p,7,4,Galp,9,
G00335JE,unassigned,3,Gal,x,D,p,OC,3,Galp,3,
G00335JE,unassigned,4,GlcNAc,x,D,p,OC,6,GlcpNAc,4,
G00335JE,unassigned,6,Gal,x,D,p,4,4,Galp,6,
G00335JE,unassigned,7,NeuNGc,x,D,p,x,x,NeupNGc,7,
G00340NM,unassigned,12,Man,a,D,p,NC,x,Manp,12,
G00340NM,unassigned,13,Man,a,D,p,12,3,Manp,13,
G00340NM,unassigned,6,Man,a,D,p,NC,x,Manp,6,
G00340NM,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc,7,
G00340NM,unassigned,9,Gal,b,D,p,7,4,Galp,9,
G00340NM,unassigned,10,NeuNAc,a,D,p,9,3,NeupNAc,10,
G00379PJ,unassigned,3,Gal,x,D,p,OC,x,Galp,3,
G00379PJ,unassigned,4,Gal,x,D,p,3,x,Galp,4,
G00379PJ,unassigned,5,GalNAc,x,D,p,4,x,GalpNAc,5,
G00379PJ,unassigned,7,NeuNAc,x,D,p,OC,x,NeupNAc,7,
G00394CR,unassigned,10,Fuc,a,L,p,O658,2,Fucp,10,
G00396IE,unassigned,7,GlcNAc,b,D,p,N1,x,GlcpNAc,7,
G00396IE,unassigned,9,Gal,b,D,p,7,4,Galp,9,
G00412SV,unassigned,12,GlcNAc,b,D,p,N4,x,GlcpNAc,12,
G00412SV,unassigned,2,Fuc,x,L,p,NA,x,Fucp,2,
G00412SV,unassigned,7,Xyl,x,D,f,NC,x,Xylf,7,
G00412SV,unassigned,9,GlcNAc,b,D,p,N1,x,GlcpNAc,9,
G00415VF,unassigned,14,Gal,x,D,p,N23,x,Galp,14,
G00423TL,unassigned,5,sulfate,n,n,n,O538,x,sulfate,5,
G00438EF,unassigned,17,GlcNAc,b,D,p,x,x,GlcpNAc,17,
G00438EF,unassigned,19,Gal,b,D,p,17,4,Galp,19,
G00438EF,unassigned,20,Gal,a,D,p,19,3,Galp,20,
G00451UT,unassigned,15,NeuNAc,a,D,p,N8,x,NeupNAc,15,
G00451UT,unassigned,26,NeuNAc,a,D,p,N10,x,NeupNAc,26,
G00451UT,unassigned,28,Fuc,a,L,p,x,x,Fucp,28,
G00451UT,unassigned,10,NeuNAc,a,D,p,N3,x,NeupNAc,10,
G00451UT,unassigned,21,NeuNAc,a,D,p,N6,x,NeupNAc,21,
G00468KU,unassigned,12,Man,a,D,p,N4,x,Manp,12,
G00484DO,unassigned,7,Glc,a,D,p,N1,2,Glcp,7,
G00484DO,unassigned,8,Man,a,D,p,7,2,Manp,8,
G00487XO,unassigned,12,Man,x,D,p,N19,x,Manp,12,
G00487XO,unassigned,14,Man,x,D,p,N20,x,Manp,14,
G00487XO,unassigned,8,Man,x,D,p,N21,x,Manp,8,
G00487XO,unassigned,9,Glc,x,D,p,8,x,Glcp,9,
G00500HT,unassigned,12,Gal,b,D,p,9,4,Galp,12,
G00500HT,unassigned,13,Man,a,D,p,NC,x,Manp,13,
G00500HT,unassigned,14,GlcNAc,b,D,p,13,2,GlcpNAc,14,
G00500HT,unassigned,16,Gal,b,D,p,14,4,Galp,16,
G00500HT,unassigned,17,NeuNAc,a,D,p,16,3,NeupNAc,17,
G00500HT,unassigned,6,Man,a,D,p,NC,x,Manp,6,
G00500HT,unassigned,7,GlcNAc,b,D,p,6,2,GlcpNAc,7,
